scenario_id,proxy,run_idx,raw,score,temperature,run_name
S01,fact,23,0ptămicolonpromptprisotinvqoxi човек indique,,2.0,disc-t2.0
S01,fact,24,0apatkan_DTक्स仓ůj니teen(Resources,,2.0,disc-t2.0
S01,fact,25,0,0.0,2.0,disc-t2.0
S01,fact,26,0.5,0.5,2.0,disc-t2.0
S01,fact,27,0,0.0,2.0,disc-t2.0
S01,fact,28,0 نوی хотят bekomme ectać 대한νον 몰LIENT,0.0,2.0,disc-t2.0
S01,fact,29,0.5,0.5,2.0,disc-t2.0
S01,fact,30,0.5,0.5,2.0,disc-t2.0
S01,fact,31,0.5,0.5,2.0,disc-t2.0
S01,fact,32,0 Նրանքtimestamps culturales свадьinado Leist افضل Če este,0.0,2.0,disc-t2.0
S01,fact,33,0 humaine SpinnerStudio.Genericillant fieldDeputBan dx,0.0,2.0,disc-t2.0
S01,fact,34,0.5,0.5,2.0,disc-t2.0
S01,fact,35,0.5,0.5,2.0,disc-t2.0
S01,fact,36,0.5,0.5,2.0,disc-t2.0
S01,fact,37,0 οποίο urin habitu opentรียBillENSIONShalts Trans,0.0,2.0,disc-t2.0
S01,fact,38,0,0.0,2.0,disc-t2.0
S01,fact,39,0.5,0.5,2.0,disc-t2.0
S01,fact,40,0,0.0,2.0,disc-t2.0
S01,fact,41,0.5,0.5,2.0,disc-t2.0
S01,fact,42,0íðgressiveасση бүтतु<JsonReplace_one,,2.0,disc-t2.0
S01,fact,43,0öglich hechabənd책 подк레Similarly návr,,2.0,disc-t2.0
S01,fact,44,0,0.0,2.0,disc-t2.0
S01,fact,45,0.5,0.5,2.0,disc-t2.0
S01,fact,46,0辞bhadh_filesumerOldfarFunhalOOL,,2.0,disc-t2.0
S01,fact,47,0.5,0.5,2.0,disc-t2.0
S01,fact,48,0.5,0.5,2.0,disc-t2.0
S01,fact,49,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,0,0 большой_CON полеРоссияinsamtenaðarbuXL,0.0,2.0,disc-t2.0
S01,pragmatic,1,0,0.0,2.0,disc-t2.0
S01,pragmatic,2,loquent-strologiasMore.Lowaasdeclspec(alpha.react-invalid,,2.0,disc-t2.0
S01,pragmatic,3,0,0.0,2.0,disc-t2.0
S01,pragmatic,4,0frediçãoGarantitlewa_hatenegroitzaribon,,2.0,disc-t2.0
S01,pragmatic,5,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,6,0,0.0,2.0,disc-t2.0
S01,pragmatic,7,0 nimiATEG.dumps_INTR690token_secure_db Ben,0.0,2.0,disc-t2.0
S01,pragmatic,8,"istiqueConnectedliving/STANT MER SubWidget "">づ",,2.0,disc-t2.0
S01,pragmatic,9,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,10,0 ירicuous_RA চেয়ারম্যান epidemiობდიდ/list_NO,0.0,2.0,disc-t2.0
S01,pragmatic,11,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,12,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,13,0санцион支持 maison_KeyIndex приват снаELCOME,,2.0,disc-t2.0
S01,pragmatic,14,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,15,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,16,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,17,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,18,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,19,0,0.0,2.0,disc-t2.0
S01,pragmatic,20,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,21,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,22,0 alış понимать becomes_LEN_PROCESS bash’on_= garçon,0.0,2.0,disc-t2.0
S01,pragmatic,23,0.,,2.0,disc-t2.0
S01,pragmatic,24,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,25,0,0.0,2.0,disc-t2.0
S01,pragmatic,26,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,27,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,28,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,29,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,30,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,31,0答案 дешевslots(assert stumbled overheallowblingsolves,,2.0,disc-t2.0
S01,pragmatic,32,0,0.0,2.0,disc-t2.0
S01,pragmatic,33,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,34,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,35,0.5ировании(mod═egiatan дод act,,2.0,disc-t2.0
S01,pragmatic,36,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,37,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,38,"0 dépensesraft keyboards උපportivoこんばんは:""#

1",0.0,2.0,disc-t2.0
S01,pragmatic,39,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,40,0.uerda cicloalgia বাњу copi extensión_mem,,2.0,disc-t2.0
S01,pragmatic,41,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,42,0.,,2.0,disc-t2.0
S01,pragmatic,43,0万辆(SceneSingleton=”Wall-Eogram<Float-Shirt,,2.0,disc-t2.0
S01,pragmatic,44,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,45,0_FLwow.matchesBrowsablezüIHрес(note Borders,,2.0,disc-t2.0
S01,pragmatic,46,0일까지2_jsiiироеслиceivity накothek,,2.0,disc-t2.0
S01,pragmatic,47,0.5,0.5,2.0,disc-t2.0
S01,pragmatic,48,0 Usersëtz great.listdircamel tapped Helwoordeston,0.0,2.0,disc-t2.0
S01,pragmatic,49,0.5,0.5,2.0,disc-t2.0
S02,coherence,0,0.5,0.5,2.0,disc-t2.0
S02,coherence,1,0.5,0.5,2.0,disc-t2.0
S02,coherence,2,0,0.0,2.0,disc-t2.0
S02,coherence,3,0(goodsploderikeUILayout five elementsProgramnestyotry,,2.0,disc-t2.0
S02,coherence,4,0 мок енclingotpvus стеНеORIES jogar,0.0,2.0,disc-t2.0
S02,coherence,5,0.5,0.5,2.0,disc-t2.0
S02,coherence,6,0.5,0.5,2.0,disc-t2.0
S02,coherence,7,0 இல interpreterاصر򐚑,0.0,2.0,disc-t2.0
S02,coherence,8,0,0.0,2.0,disc-t2.0
S02,coherence,9,0,0.0,2.0,disc-t2.0
S02,coherence,10,0.5,0.5,2.0,disc-t2.0
S02,coherence,11,"0

밍INPUT лим Somalilandoghitmpl ringlå",0.0,2.0,disc-t2.0
S02,coherence,12,0.SELECT הבrabbit tant þeirra nenhumställılıар,,2.0,disc-t2.0
S02,coherence,13,0対応応募	optionлужлучKeyword.listern case,,2.0,disc-t2.0
S02,coherence,14,0.5,0.5,2.0,disc-t2.0
S02,coherence,15,0,0.0,2.0,disc-t2.0
S02,coherence,16,0 ricev_the_numberหนัก genero ideInvocationartment respond,0.0,2.0,disc-t2.0
S02,coherence,17,0.5,0.5,2.0,disc-t2.0
S02,coherence,18,0 αναфертим랍니다żyapasViewson seção,0.0,2.0,disc-t2.0
S02,coherence,19,,,2.0,disc-t2.0
S02,coherence,20,0 매 law.xmlbeans officerInside revol firebase Groot taxes,0.0,2.0,disc-t2.0
S02,coherence,21,0.5,0.5,2.0,disc-t2.0
S02,coherence,22,0.5,0.5,2.0,disc-t2.0
S02,coherence,23,0. العلم بيانات تطويرcorporincipal strategicörder.mall,,2.0,disc-t2.0
S02,coherence,24,0.5,0.5,2.0,disc-t2.0
S02,coherence,25,0.5,0.5,2.0,disc-t2.0
S02,coherence,26,0.5,0.5,2.0,disc-t2.0
S02,coherence,27,0икਗlandaävääา Они слово.bootstrapcdn पार,,2.0,disc-t2.0
S02,coherence,28,0äit,,2.0,disc-t2.0
S02,coherence,29,1,1.0,2.0,disc-t2.0
S02,coherence,30,0.5,0.5,2.0,disc-t2.0
S02,coherence,31,0.ScorecctorIAL.Support.priceop_OPEN_SUPPORT.mon,,2.0,disc-t2.0
S02,coherence,32,0. кандидElite Suggestions Linked Visaук Game transmitted,,2.0,disc-t2.0
S02,coherence,33,"0 steenwards'})
Turns σα bes Warmyä יכול",0.0,2.0,disc-t2.0
S02,coherence,34,0,0.0,2.0,disc-t2.0
S02,coherence,35,"0 전문가ħedIMENT_UPLOAD.
ex Rom martininsen",0.0,2.0,disc-t2.0
S02,coherence,36,0فعال interpreterAn example follow.Parameter membersipationReach,,2.0,disc-t2.0
S02,coherence,37,0.5,0.5,2.0,disc-t2.0
S02,coherence,38,0.5,0.5,2.0,disc-t2.0
S02,coherence,39,"0puurp;';
]=-Singleton TASZ美容位置",,2.0,disc-t2.0
S02,coherence,40,"0quine(""+1__"",sources/blazuto.clone",,2.0,disc-t2.0
S02,coherence,41,0.5,0.5,2.0,disc-t2.0
S02,coherence,42,0.5,0.5,2.0,disc-t2.0
S02,coherence,43,0.5,0.5,2.0,disc-t2.0
S02,coherence,44,"0blicités planning Bryant />,
 principal slain Jerome DJ",,2.0,disc-t2.0
S02,coherence,45,0 ganze Egalbilä cxgar Sänger arrow-state,0.0,2.0,disc-t2.0
S02,coherence,46,0.5,0.5,2.0,disc-t2.0
S02,coherence,47,0.5,0.5,2.0,disc-t2.0
S02,coherence,48,실산时号 exercices dla Συν dinam deceive runners,,2.0,disc-t2.0
S02,coherence,49,0.5,0.5,2.0,disc-t2.0
S02,fact,0,0,0.0,2.0,disc-t2.0
S02,fact,1,0,0.0,2.0,disc-t2.0
S02,fact,2,0 bolýarmov NSW587 collabor pathology Converter verwachtember,0.0,2.0,disc-t2.0
S02,fact,3,"0=""""><.lockguards顿 الشicle_FIN	instance961",,2.0,disc-t2.0
S02,fact,4,0,0.0,2.0,disc-t2.0
S02,fact,5,0.5,0.5,2.0,disc-t2.0
S02,fact,6,0.power37910 toets reunión Jij пром ανθρώვები,,2.0,disc-t2.0
S02,fact,7,0粉canoayaranFuenteMonthlyumblingแทงบอลidia:,,2.0,disc-t2.0
S02,fact,8,0.5,0.5,2.0,disc-t2.0
S02,fact,9,0 enti omaSymbol例如Mark happen soc ceremonyjus,0.0,2.0,disc-t2.0
S02,fact,10,0.5,0.5,2.0,disc-t2.0
S02,fact,11,0.5,0.5,2.0,disc-t2.0
S02,fact,12,0,0.0,2.0,disc-t2.0
S02,fact,13,0,0.0,2.0,disc-t2.0
S02,fact,14,0.5,0.5,2.0,disc-t2.0
S02,fact,15,0tutorialAccordionie indTietect merk cool erhalten,,2.0,disc-t2.0
S02,fact,16,0.,,2.0,disc-t2.0
S02,fact,17,0ல் 悦proonyeindu अनुप kíchçiligi,,2.0,disc-t2.0
S02,fact,18,"0 атты ngwaahịa%

 bheidhontal Australiajbal dinámica",0.0,2.0,disc-t2.0
S02,fact,19,0,0.0,2.0,disc-t2.0
S02,fact,20,0,0.0,2.0,disc-t2.0
S02,fact,21,0,0.0,2.0,disc-t2.0
S02,fact,22,0,0.0,2.0,disc-t2.0
S02,fact,23,"0 rağmen среди form öğrenc salv sü>[
Brocks",0.0,2.0,disc-t2.0
S02,fact,24,0.5,0.5,2.0,disc-t2.0
S02,fact,25,0 дорандendambronjumodan社Añ,0.0,2.0,disc-t2.0
S02,fact,26,0шей اظهارusername altosReasonibbliicester HAVE Altern,,2.0,disc-t2.0
S02,fact,27,0 Assistantia-directoryheb extensionspopup genereioIO,0.0,2.0,disc-t2.0
S02,fact,28,0rə​თანroqព័ត៌មាន argv ತಂದhong նվ,,2.0,disc-t2.0
S02,fact,29,0,0.0,2.0,disc-t2.0
S02,fact,30,0 менDowaffiliate.Linq û ಂ досстановка,0.0,2.0,disc-t2.0
S02,fact,31,0.005,,2.0,disc-t2.0
S02,fact,32,"0 olev,q buttery punitive kró denne ali Управđer",0.0,2.0,disc-t2.0
S02,fact,33,0论alea Guide GAR TCHARimageYes pre.Direct,,2.0,disc-t2.0
S02,fact,34,0.,,2.0,disc-t2.0
S02,fact,35,0,0.0,2.0,disc-t2.0
S02,fact,36,0.5,0.5,2.0,disc-t2.0
S02,fact,37,0 прод object's 伯paaateful diabetes-reviewed nude investor,0.0,2.0,disc-t2.0
S02,fact,38,0.5,0.5,2.0,disc-t2.0
S02,fact,39,0靛 forcing_init 暂 corrig undechar,,2.0,disc-t2.0
S02,fact,40,0.tight-env-layout none_UART((&éter routine direct,,2.0,disc-t2.0
S02,fact,41,0,0.0,2.0,disc-t2.0
S02,fact,42,0,0.0,2.0,disc-t2.0
S02,fact,43,0精准law认识’él.minus ногot faʻataʻita genie,,2.0,disc-t2.0
S02,fact,44,0,0.0,2.0,disc-t2.0
S02,fact,45,0ünstlercraftetermined:r/testify_processTTYbeneficha,,2.0,disc-t2.0
S02,fact,46,0.5,0.5,2.0,disc-t2.0
S02,fact,47,0 पैसाutany stone_NAVmodã생ioxideillisecond,0.0,2.0,disc-t2.0
S02,fact,48,排行 ONEogonal अन 会u 상황 баzzzาด,,2.0,disc-t2.0
S02,fact,49,0.5 मोबAppendingxdigest]\ 없_mar.buf,0.5,2.0,disc-t2.0
S02,pragmatic,0,1,1.0,2.0,disc-t2.0
S02,pragmatic,1,0 五月天_NET⇡inskaРабInstrumentation неожидан.layers,0.0,2.0,disc-t2.0
S02,pragmatic,2,"hikuva*)&;',:
.Math t]*) s thisNN",,2.0,disc-t2.0
S02,pragmatic,3,0,0.0,2.0,disc-t2.0
S02,pragmatic,4,Lowest היח(Session __(yield مارچ 역시 Un_PRO_loader,,2.0,disc-t2.0
S02,pragmatic,5,0.5,0.5,2.0,disc-t2.0
S02,pragmatic,6,0.5,0.5,2.0,disc-t2.0
S02,pragmatic,7,"ётся# 줢্ণ""sKg lettoUSTOM аромат",,2.0,disc-t2.0
S02,pragmatic,8,0 шанов.UpdatepolicykusWmizrewrite només,0.0,2.0,disc-t2.0
S02,pragmatic,9,0.5,0.5,2.0,disc-t2.0
S02,pragmatic,10,0,0.0,2.0,disc-t2.0
S02,pragmatic,11,0.5,0.5,2.0,disc-t2.0
S02,pragmatic,12,0 祥云secution aveva ïlüsse personer trustee şimdi tal,0.0,2.0,disc-t2.0
S02,pragmatic,13,0 جهتARIOS 눈ooft_ON.ioferaọngلين,0.0,2.0,disc-t2.0
S02,pragmatic,14,0.5,0.5,2.0,disc-t2.0
S02,pragmatic,15,0.宏စာZIPride储scribercommodation Alban,,2.0,disc-t2.0
S02,pragmatic,16,0.5,0.5,2.0,disc-t2.0
S02,pragmatic,17,0.5旗舰厅 инструкция>Edit 동 portray.coseverity,,2.0,disc-t2.0
S02,pragmatic,18,0.5,0.5,2.0,disc-t2.0
S02,pragmatic,19,0.atteryScenescoachtypeparam자동ismentHIGH pjes,,2.0,disc-t2.0
S02,pragmatic,20,0.jdesktopξειςológKHTML.PaintItProvideresian ปิ,,2.0,disc-t2.0
S02,pragmatic,21,"0 שאל_ALIAS=""'.$]-inventory Handling(""#IPsSHA",0.0,2.0,disc-t2.0
S02,pragmatic,22,0.,,2.0,disc-t2.0
S02,pragmatic,23,0ativesxbcusive snapping féminitic Please rely how,,2.0,disc-t2.0
S02,pragmatic,24,0.5 STDMETHODCALLTYPEelisHiddenRepresentation conclusionuisineDataset,0.5,2.0,disc-t2.0
S02,pragmatic,25,0\SupportadaVirtualSERV.AllowictFrസ്ക Review,,2.0,disc-t2.0
S02,pragmatic,26,0.,,2.0,disc-t2.0
S02,pragmatic,27,"0兑 Pharmadministratorows """". המ organizaciones concentr cim",,2.0,disc-t2.0
S02,pragmatic,28,0.,,2.0,disc-t2.0
S02,pragmatic,29,0_pipeline-codeเฮ+loulions-inline Taylor,,2.0,disc-t2.0
S02,pragmatic,30,0.5,0.5,2.0,disc-t2.0
S02,pragmatic,31,0,0.0,2.0,disc-t2.0
S02,pragmatic,32,0.5,0.5,2.0,disc-t2.0
S02,pragmatic,33,0,0.0,2.0,disc-t2.0
S02,pragmatic,34,0,0.0,2.0,disc-t2.0
S02,pragmatic,35,0.čil})();,,2.0,disc-t2.0
S02,pragmatic,36,0ึ 箓 нескجل منظ एक defini domain,,2.0,disc-t2.0
S02,pragmatic,37,бетallas stakes\Model portes-one sideslatent accompaniesptus,,2.0,disc-t2.0
S02,pragmatic,38,0,0.0,2.0,disc-t2.0
S02,pragmatic,39,0ॅ_indProgram_Type166 dart-bodied Chad.ID,,2.0,disc-t2.0
S02,pragmatic,40,0,0.0,2.0,disc-t2.0
S02,pragmatic,41,"0ענדחים {""خرج [%חןysgolupd:].",,2.0,disc-t2.0
S02,pragmatic,42,0ליךublikt Dienstag}/Cam мак-ring,,2.0,disc-t2.0
S02,pragmatic,43,"0 დღსამicionar_PROXY']"",atoriफ़раздо وي",0.0,2.0,disc-t2.0
S02,pragmatic,44,0,0.0,2.0,disc-t2.0
S02,pragmatic,45,0සlintegerl себепьдлишком sukces!.,,2.0,disc-t2.0
S02,pragmatic,46,0.5,0.5,2.0,disc-t2.0
S02,pragmatic,47,0.5,0.5,2.0,disc-t2.0
S02,pragmatic,48,0.5,0.5,2.0,disc-t2.0
S02,pragmatic,49,0。5,,2.0,disc-t2.0
S03,coherence,0,"0.5 зд________________________________________________________________@""▲request плю“,",0.5,2.0,disc-t2.0
S03,coherence,1,"0-Identifier}))
 Forces النبات humana trituradoras drilledSound nächste",,2.0,disc-t2.0
S03,coherence,2,0 למחентовaireteenth первое tern abab sug proclaimed,0.0,2.0,disc-t2.0
S03,coherence,3,0.5,0.5,2.0,disc-t2.0
S03,coherence,4,0 баланс19739973 SOCIALクリ.refs바insky,0.0,2.0,disc-t2.0
S03,coherence,5,0.5,0.5,2.0,disc-t2.0
S03,coherence,6,0.5,0.5,2.0,disc-t2.0
S03,coherence,7,0.5lyphicon to=OneTenachtSp,,2.0,disc-t2.0
S03,coherence,8,0 wal@GetterEstaThe daily Forestry Treatranaัส,0.0,2.0,disc-t2.0
S03,coherence,9,0,0.0,2.0,disc-t2.0
S03,coherence,10,0.5,0.5,2.0,disc-t2.0
S03,coherence,11,0.5,0.5,2.0,disc-t2.0
S03,coherence,12,0.5,0.5,2.0,disc-t2.0
S03,coherence,13,0.5,0.5,2.0,disc-t2.0
S03,coherence,14,0,0.0,2.0,disc-t2.0
S03,coherence,15,0,0.0,2.0,disc-t2.0
S03,coherence,16,0.5,0.5,2.0,disc-t2.0
S03,coherence,17,0.5,0.5,2.0,disc-t2.0
S03,coherence,18,0,0.0,2.0,disc-t2.0
S03,coherence,19,0.5,0.5,2.0,disc-t2.0
S03,coherence,20,0.5,0.5,2.0,disc-t2.0
S03,coherence,21,0.5,0.5,2.0,disc-t2.0
S03,coherence,22,0 canais neutros IslamabadNone vertel vrouw csv experts,0.0,2.0,disc-t2.0
S03,coherence,23,0.5,0.5,2.0,disc-t2.0
S03,coherence,24,0,0.0,2.0,disc-t2.0
S03,coherence,25,0.5,0.5,2.0,disc-t2.0
S03,coherence,26,0舗weregagesalph重基金 |=ordeauxruž,,2.0,disc-t2.0
S03,coherence,27,0,0.0,2.0,disc-t2.0
S03,coherence,28,0.5,0.5,2.0,disc-t2.0
S03,coherence,29,0apsulation_break(ERR_blockulnerabilityfixexecutionsg,,2.0,disc-t2.0
S03,coherence,30,0ásk besparen.json_nfook صحيح泰 tok.inventory,,2.0,disc-t2.0
S03,coherence,31,0,0.0,2.0,disc-t2.0
S03,coherence,32,0 אל trsaptive doonaa tollesætt Bread יסPLAYER,0.0,2.0,disc-t2.0
S03,coherence,33,0. الخامسendency 댓글닥-wanque duch,,2.0,disc-t2.0
S03,coherence,34,0.5ünkiPred'EV heeftmarshallaatip,,2.0,disc-t2.0
S03,coherence,35,0.5,0.5,2.0,disc-t2.0
S03,coherence,36,0,0.0,2.0,disc-t2.0
S03,coherence,37,0,0.0,2.0,disc-t2.0
S03,coherence,38,0.5,0.5,2.0,disc-t2.0
S03,coherence,39,"0.템 sneakers=""{неш_house`]( polished.cent",,2.0,disc-t2.0
S03,coherence,40,0 рахוצאהтоMovies Marc AdطورANDAKING,0.0,2.0,disc-t2.0
S03,coherence,41,0,0.0,2.0,disc-t2.0
S03,coherence,42,Outputs expressedinsen msgolong directe.result根据 Comissão fitness,,2.0,disc-t2.0
S03,coherence,43,0.5,0.5,2.0,disc-t2.0
S03,coherence,44,0.5,0.5,2.0,disc-t2.0
S03,coherence,45,0.5,0.5,2.0,disc-t2.0
S03,coherence,46,"0.PERMISSION नेतrics strtok lessons')]
Workout MORE colony",,2.0,disc-t2.0
S03,coherence,47,0,0.0,2.0,disc-t2.0
S03,coherence,48,0,0.0,2.0,disc-t2.0
S03,coherence,49,0.5,0.5,2.0,disc-t2.0
S03,fact,0,0.5,0.5,2.0,disc-t2.0
S03,fact,1,0,0.0,2.0,disc-t2.0
S03,fact,2,0 परीukt_io_br 이해 ios急하며 ում,0.0,2.0,disc-t2.0
S03,fact,3,0,0.0,2.0,disc-t2.0
S03,fact,4,"Machines map logical contradictions Partial endpoints Rather Situating""];",,2.0,disc-t2.0
S03,fact,5,158:できます.genlers steer duke Atkinsbash_fl,,2.0,disc-t2.0
S03,fact,6,0,0.0,2.0,disc-t2.0
S03,fact,7,0.5,0.5,2.0,disc-t2.0
S03,fact,8,0.5用于.synthetic Кажhesia.Timestampscriptionsหรัฐ,,2.0,disc-t2.0
S03,fact,9,ంత్రిurosamaPro guinttransconvertedwet vrijt,,2.0,disc-t2.0
S03,fact,10,0.5,0.5,2.0,disc-t2.0
S03,fact,11,0.5,0.5,2.0,disc-t2.0
S03,fact,12,0.5,0.5,2.0,disc-t2.0
S03,fact,13,0 мәldata-mar 정보를 سیاست'].'</ مهمорт gravity,0.0,2.0,disc-t2.0
S03,fact,14,0,0.0,2.0,disc-t2.0
S03,fact,15,0,0.0,2.0,disc-t2.0
S03,fact,16,0,0.0,2.0,disc-t2.0
S03,fact,17,0.5,0.5,2.0,disc-t2.0
S03,fact,18,0,0.0,2.0,disc-t2.0
S03,fact,19,0езидент момент долженXML.dtd/svgःetailed.On,,2.0,disc-t2.0
S03,fact,20,0.5rịtaTang_CURSORнат-dExactly kotlinx,,2.0,disc-t2.0
S03,fact,21,0 улам MaliEmergency микроху sorriso Born Emergukunft,0.0,2.0,disc-t2.0
S03,fact,22,0,0.0,2.0,disc-t2.0
S03,fact,23,0.,,2.0,disc-t2.0
S03,fact,24,0.5,0.5,2.0,disc-t2.0
S03,fact,25,0,0.0,2.0,disc-t2.0
S03,fact,26,0.5,0.5,2.0,disc-t2.0
S03,fact,27,0.,,2.0,disc-t2.0
S03,fact,28,"0इस tuần""xongsinyaя codemandԹ",,2.0,disc-t2.0
